instant_x,dteday,season_x,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,season_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,springer,0,1,0,not holiday,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,springer,0,1,1,not holiday,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,3,springer,0,1,2,not holiday,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,4,springer,0,1,3,not holiday,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,5,springer,0,1,4,not holiday,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,6,springer,0,1,5,not holiday,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,7,springer,0,1,6,not holiday,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8,springer,0,1,7,not holiday,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,9,springer,0,1,8,not holiday,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,10,springer,0,1,9,not holiday,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,11,springer,0,1,10,not holiday,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,12,springer,0,1,11,not holiday,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,springer,0,1,12,not holiday,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,springer,0,1,13,not holiday,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,springer,0,1,14,not holiday,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,springer,0,1,15,not holiday,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
1,2011-01-01,springer,0,1,not holiday,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,17,springer,0,1,16,not holiday,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
